sample	nb_subclones	nb_patterns	nb_cells
MM-01-0006-T2	3	10	7506
MM-01-0110-T	7	10	7383
MM-01-0143-T	4	10	8288
MM-01-0143-T2	7	10	7638
MM-01-0167-T	5	10	7235
MM-01-0167-T2	4	10	6383
MM-01-0170-T	3	10	5598
MM-01-0189-T	2	10	2181
MM-01-0221-T	5	10	6105
MM-01-0239-T	6	10	9783
MM-01-0264-T	2	10	531
MM-01-0264-T2	4	10	4517
MM-01-0264-T3	4	10	5468
MM-01-0270-T	7	10	9073
MM-01-0273-T	4	10	10198
MM-01-0274-T	7	10	8769
MM-01-0280-T	4	10	2348
MM-01-0282-T	14	10	7600
MM-01-0282-T2	8	10	3709
MM-01-0286-T	5	10	6854
MM-01-0287-T	5	10	2451
MM-01-0288-T	5	10	9611
MM-01-0288-T2	9	10	10053
MM-01-0290-T	4	10	8308
MM-01-0297-T	4	10	9803
MM-01-0302-T3	6	10	6348
MM-01-0309-T	3	10	10484
MM-01-0309-T2	3	10	1189
MM-01-0323-T	5	10	5217
MM-01-0324-T	3	10	5668
MM-01-0328-T	6	10	4983
MM-01-0331-T	4	10	4092
MM-01-0332-T	5	10	2620
MM-01-0366-T	5	10	6229
MM-01-0370-T	7	10	7519
MM-01-0374-T	8	10	7439
MM-01-0377-T	4	10	7036
MM-01-0388-T	5	10	8487
MM-01-0389-T	5	10	7242
MM-01-0390-T	6	10	5490
MM-01-0391-MO-T	5	10	13190
MM-01-0391-SG-T	5	10	7119
MM-01-0394-T	5	10	7475
MM-01-0410-T	4	10	7282
MM-01-0423-T	4	10	7008
MM-02-0034-T	5	10	5941
